Date,Product_ID,Category,Store_ID,Units_Sold,Price,Discount_Percentage,Promotion_Flag,Stock_Availability,Day_of_Week,Month,Quarter,Holiday_Flag,Is_Weekend,Season,Weather,Local_Event_Flag,Competitor_Price,Economic_Indicator,Sales_Channel,Customer_Segment,Marketing_Spend,Holiday_Name,Lag_1,Lag_7,Lag_14,Rolling_Mean_7,Rolling_Mean_14,Rolling_Mean_30
2024-04-22,P004,Stationery,S02,38,2248.387978358874,0,0,1,Monday,April,Q2,0,0,Spring,Clear,0,2106.473743459802,97.52313877705943,Wholesale,Wholesale,508.7249125442164,None,63.0,58.0,62.0,41.285714285714285,40.357142857142854,39.833333333333336
2024-05-08,P007,Sports,S03,67,3809.408435974676,16,1,1,Wednesday,May,Q2,0,0,Spring,Cloudy,0,3781.932356567186,106.155459249713,Online,Corporate,3103.429742164597,None,11.0,55.0,53.0,41.0,41.07142857142857,39.3
2024-05-14,P007,Sports,S03,39,930.0206670976996,0,0,1,Tuesday,May,Q2,0,0,Spring,Clear,0,939.5221581091528,104.5047649884214,Wholesale,Corporate,310.0255755805596,None,67.0,51.0,9.0,42.714285714285715,42.07142857142857,40.666666666666664
2024-05-15,P004,Stationery,S02,34,4333.172039691838,12,1,1,Wednesday,May,Q2,0,0,Spring,Cloudy,0,4062.399120353157,108.520631679459,In-Store,Corporate,4592.963496492362,None,38.0,26.0,56.0,38.42857142857143,38.642857142857146,38.9
2024-05-20,P006,Apparel,S02,23,3214.387739680046,0,0,1,Monday,May,Q2,0,0,Spring,Stormy,0,3021.295606427923,107.9057873160744,Wholesale,Retail,6.465232566181385,None,39.0,29.0,97.0,51.857142857142854,56.714285714285715,52.03333333333333
2024-05-21,P004,Stationery,S02,31,3000.564101295183,1,0,1,Tuesday,May,Q2,0,0,Spring,Stormy,1,3238.347860593415,105.0405184770921,In-Store,Corporate,690.1026512207926,None,34.0,73.0,46.0,39.57142857142857,37.07142857142857,38.03333333333333
2024-05-21,P006,Apparel,S02,59,1162.217644394811,6,1,1,Tuesday,May,Q2,0,0,Spring,Cloudy,0,1270.01240694879,104.5999181380366,Online,Wholesale,5731.263155197322,None,23.0,46.0,52.0,51.0,51.42857142857143,51.3
2024-05-22,P006,Apparel,S02,50,3491.723998525667,0,1,1,Wednesday,May,Q2,0,0,Spring,Sunny,0,3210.236829468368,96.68433519145388,Wholesale,Corporate,7992.979832765724,None,59.0,22.0,50.0,52.857142857142854,51.92857142857143,51.9
2024-05-25,P002,Electronics,S01,28,1691.674990111379,0,0,1,Saturday,May,Q2,0,1,Spring,Stormy,0,1567.212768368494,106.5906344465534,Wholesale,Corporate,0.0,None,2.0,78.0,59.0,43.714285714285715,40.285714285714285,43.9
2024-05-27,P008,Appliances,S01,62,1932.3,10,1,1,Monday,May,Q2,0,0,Spring,Stormy,1,1789.22,108.26,Online,Corporate,4282.52,None,61.0,52.0,55.0,52.0,51.42857142857143,48.9
2024-05-28,P004,Stationery,S02,63,1143.477194035046,3,1,1,Tuesday,May,Q2,0,0,Spring,Sunny,1,1166.929800284294,109.2461809672589,Online,Retail,9666.048036083741,None,31.0,2.0,2.0,33.57142857142857,36.0,38.86666666666667
2024-05-29,P006,Apparel,S02,2,4414.21,20,1,0,Wednesday,May,Q2,0,0,Spring,Clear,0,4650.62,96.94,Wholesale,Retail,8398.21,None,50.0,96.0,91.0,56.857142857142854,51.92857142857143,51.9
2024-05-30,P004,Stationery,S02,41,3466.058845411948,5,1,1,Thursday,May,Q2,0,0,Spring,Stormy,0,3437.189587642531,99.86420229825383,Wholesale,Retail,7869.153882654949,None,63.0,32.0,45.0,42.285714285714285,40.357142857142854,40.8
2024-06-01,P006,Apparel,S02,100,561.0529913859524,18,1,1,Saturday,June,Q2,0,1,Summer,Clear,1,525.0973965618012,106.9535435467516,In-Store,Wholesale,9138.35819350165,None,2.0,64.0,52.0,43.42857142857143,45.57142857142857,51.0
2024-06-02,P007,Sports,S03,76,2377.01,15,1,1,Sunday,June,Q2,0,1,Summer,Rainy,0,2336.9,101.97,In-Store,Wholesale,1864.85,None,39.0,22.0,46.0,41.0,44.214285714285715,40.9
2024-06-04,P002,Electronics,S01,0,1593.02,5,1,0,Tuesday,June,Q2,0,0,Summer,Stormy,0,1740.43,108.53,In-Store,Wholesale,7350.72,None,28.0,100.0,52.0,36.57142857142857,38.07142857142857,43.03333333333333
2024-06-05,P004,Stationery,S02,69,2591.67,10,1,1,Wednesday,June,Q2,0,0,Summer,Stormy,0,2590.31,96.35,In-Store,Wholesale,4843.69,None,41.0,35.0,6.0,43.57142857142857,40.07142857142857,40.03333333333333
2024-06-05,P007,Sports,S03,1,2358.654273654865,0,1,0,Wednesday,June,Q2,0,0,Summer,Rainy,0,2168.891970647606,99.52718497321217,Wholesale,Wholesale,8272.032822940535,None,76.0,71.0,25.0,48.714285714285715,46.357142857142854,42.166666666666664
2024-06-06,P002,Electronics,S01,58,3763.451449462418,0,0,1,Thursday,June,Q2,0,0,Summer,Sunny,1,3458.142693830851,101.54592770384,Online,Retail,467.6214408546176,None,0.0,52.0,1.0,22.285714285714285,34.357142857142854,41.1
2024-06-06,P004,Stationery,S02,36,3000.05,0,0,1,Thursday,June,Q2,0,0,Summer,Stormy,1,3229.46,104.81,In-Store,Corporate,268.35,None,69.0,63.0,59.0,48.42857142857143,44.57142857142857,42.266666666666666
2024-06-08,P002,Electronics,S01,16,2837.884897865539,11,1,0,Saturday,June,Q2,0,1,Summer,Clear,0,2745.366933678359,107.2749147318474,Online,Wholesale,9400.790020732042,None,58.0,51.0,64.0,23.142857142857142,38.42857142857143,40.9
