Date,Product_ID,Store_ID,Predicted_Units_Sold
2026-12-28,P001,S01,4.3
2026-12-28,P001,S02,4.65
2026-12-28,P001,S03,9.96
2026-12-28,P001,S04,5.65
2026-12-28,P002,S01,7.12
2026-12-28,P002,S02,9.35
2026-12-28,P002,S03,7.16
2026-12-28,P002,S04,4.0
2026-12-28,P003,S01,6.55
2026-12-28,P003,S02,8.49
2026-12-28,P003,S03,12.36
2026-12-28,P003,S04,5.31
2026-12-28,P004,S01,6.88
2026-12-28,P004,S02,0.98
2026-12-28,P004,S03,5.63
2026-12-28,P004,S04,4.9
2026-12-28,P005,S01,7.96
2026-12-28,P005,S02,4.81
2026-12-28,P005,S03,7.1
2026-12-28,P005,S04,8.59
2026-12-28,P006,S01,7.04
2026-12-28,P006,S02,6.79
2026-12-28,P006,S03,5.04
2026-12-28,P006,S04,6.72
2026-12-28,P007,S01,3.65
2026-12-28,P007,S02,6.34
2026-12-28,P007,S03,6.95
2026-12-28,P007,S04,4.24
2026-12-28,P008,S01,8.49
2026-12-28,P008,S02,5.81
2026-12-28,P008,S03,5.27
2026-12-28,P008,S04,5.45
2026-12-29,P001,S01,3.2
2026-12-29,P001,S02,5.94
2026-12-29,P001,S03,8.56
2026-12-29,P001,S04,7.0
2026-12-29,P002,S01,9.05
2026-12-29,P002,S02,9.35
2026-12-29,P002,S03,9.51
2026-12-29,P002,S04,6.4
2026-12-29,P003,S01,10.27
2026-12-29,P003,S02,8.87
2026-12-29,P003,S03,12.97
2026-12-29,P003,S04,4.97
2026-12-29,P004,S01,6.96
2026-12-29,P004,S02,1.9
2026-12-29,P004,S03,6.32
2026-12-29,P004,S04,4.73
2026-12-29,P005,S01,9.72
2026-12-29,P005,S02,5.2
2026-12-29,P005,S03,6.09
2026-12-29,P005,S04,7.45
2026-12-29,P006,S01,5.71
2026-12-29,P006,S02,4.22
2026-12-29,P006,S03,5.94
2026-12-29,P006,S04,7.07
2026-12-29,P007,S01,5.34
2026-12-29,P007,S02,6.89
2026-12-29,P007,S03,5.7
2026-12-29,P007,S04,4.68
2026-12-29,P008,S01,9.1
2026-12-29,P008,S02,6.36
2026-12-29,P008,S03,6.13
2026-12-29,P008,S04,5.68
2026-12-30,P001,S01,3.78
2026-12-30,P001,S02,4.55
2026-12-30,P001,S03,9.95
2026-12-30,P001,S04,4.57
2026-12-30,P002,S01,7.98
2026-12-30,P002,S02,9.29
2026-12-30,P002,S03,9.8
2026-12-30,P002,S04,7.31
2026-12-30,P003,S01,8.65
2026-12-30,P003,S02,8.19
2026-12-30,P003,S03,13.07
2026-12-30,P003,S04,5.21
2026-12-30,P004,S01,7.72
2026-12-30,P004,S02,2.02
2026-12-30,P004,S03,6.3
2026-12-30,P004,S04,6.13
2026-12-30,P005,S01,9.9
2026-12-30,P005,S02,6.07
2026-12-30,P005,S03,9.35
2026-12-30,P005,S04,7.57
2026-12-30,P006,S01,6.08
2026-12-30,P006,S02,3.51
2026-12-30,P006,S03,4.4
2026-12-30,P006,S04,6.78
2026-12-30,P007,S01,4.09
2026-12-30,P007,S02,8.58
2026-12-30,P007,S03,6.02
2026-12-30,P007,S04,4.79
2026-12-30,P008,S01,9.73
2026-12-30,P008,S02,6.49
2026-12-30,P008,S03,5.96
2026-12-30,P008,S04,5.02
2026-12-31,P001,S01,3.28
2026-12-31,P001,S02,5.34
2026-12-31,P001,S03,9.94
2026-12-31,P001,S04,5.76
2026-12-31,P002,S01,8.79
2026-12-31,P002,S02,9.36
2026-12-31,P002,S03,10.0
2026-12-31,P002,S04,6.49
2026-12-31,P003,S01,8.53
2026-12-31,P003,S02,9.0
2026-12-31,P003,S03,13.34
2026-12-31,P003,S04,5.69
2026-12-31,P004,S01,7.48
2026-12-31,P004,S02,3.76
2026-12-31,P004,S03,9.03
2026-12-31,P004,S04,6.65
2026-12-31,P005,S01,10.29
2026-12-31,P005,S02,6.7
2026-12-31,P005,S03,8.26
2026-12-31,P005,S04,7.05
2026-12-31,P006,S01,6.7
2026-12-31,P006,S02,4.49
2026-12-31,P006,S03,6.48
2026-12-31,P006,S04,7.59
2026-12-31,P007,S01,6.62
2026-12-31,P007,S02,8.92
2026-12-31,P007,S03,8.39
2026-12-31,P007,S04,5.14
2026-12-31,P008,S01,10.03
2026-12-31,P008,S02,5.91
2026-12-31,P008,S03,6.92
2026-12-31,P008,S04,8.82
2027-01-01,P001,S01,3.51
2027-01-01,P001,S02,6.69
2027-01-01,P001,S03,12.33
2027-01-01,P001,S04,6.77
2027-01-01,P002,S01,9.1
2027-01-01,P002,S02,9.29
2027-01-01,P002,S03,9.54
2027-01-01,P002,S04,6.01
2027-01-01,P003,S01,9.74
2027-01-01,P003,S02,8.4
2027-01-01,P003,S03,13.08
2027-01-01,P003,S04,6.62
2027-01-01,P004,S01,8.78
2027-01-01,P004,S02,3.68
2027-01-01,P004,S03,8.94
2027-01-01,P004,S04,6.7
2027-01-01,P005,S01,10.71
2027-01-01,P005,S02,7.13
2027-01-01,P005,S03,8.55
2027-01-01,P005,S04,8.35
2027-01-01,P006,S01,7.42
2027-01-01,P006,S02,6.93
2027-01-01,P006,S03,6.57
2027-01-01,P006,S04,8.31
2027-01-01,P007,S01,5.05
2027-01-01,P007,S02,9.07
2027-01-01,P007,S03,6.51
2027-01-01,P007,S04,7.8
2027-01-01,P008,S01,10.68
2027-01-01,P008,S02,7.66
2027-01-01,P008,S03,6.49
2027-01-01,P008,S04,5.04
2027-01-02,P001,S01,4.04
2027-01-02,P001,S02,6.78
2027-01-02,P001,S03,13.4
2027-01-02,P001,S04,5.74
2027-01-02,P002,S01,9.59
2027-01-02,P002,S02,9.69
2027-01-02,P002,S03,10.68
2027-01-02,P002,S04,5.97
2027-01-02,P003,S01,8.62
2027-01-02,P003,S02,8.58
2027-01-02,P003,S03,13.03
2027-01-02,P003,S04,6.88
2027-01-02,P004,S01,7.36
2027-01-02,P004,S02,3.78
2027-01-02,P004,S03,12.17
2027-01-02,P004,S04,6.75
2027-01-02,P005,S01,10.81
2027-01-02,P005,S02,6.54
2027-01-02,P005,S03,8.0
2027-01-02,P005,S04,7.47
2027-01-02,P006,S01,7.36
2027-01-02,P006,S02,5.23
2027-01-02,P006,S03,7.82
2027-01-02,P006,S04,7.55
2027-01-02,P007,S01,5.92
2027-01-02,P007,S02,9.37
2027-01-02,P007,S03,7.2
2027-01-02,P007,S04,6.53
2027-01-02,P008,S01,12.12
2027-01-02,P008,S02,7.89
2027-01-02,P008,S03,7.27
2027-01-02,P008,S04,5.37
2027-01-03,P001,S01,5.04
2027-01-03,P001,S02,6.91
2027-01-03,P001,S03,12.39
2027-01-03,P001,S04,6.6
2027-01-03,P002,S01,9.67
2027-01-03,P002,S02,9.36
2027-01-03,P002,S03,13.0
2027-01-03,P002,S04,7.16
2027-01-03,P003,S01,9.35
2027-01-03,P003,S02,8.23
2027-01-03,P003,S03,12.35
2027-01-03,P003,S04,7.31
2027-01-03,P004,S01,9.18
2027-01-03,P004,S02,3.72
2027-01-03,P004,S03,11.48
2027-01-03,P004,S04,6.8
2027-01-03,P005,S01,11.33
2027-01-03,P005,S02,6.7
2027-01-03,P005,S03,7.98
2027-01-03,P005,S04,8.52
2027-01-03,P006,S01,7.38
2027-01-03,P006,S02,6.0
2027-01-03,P006,S03,6.94
2027-01-03,P006,S04,7.92
2027-01-03,P007,S01,5.35
2027-01-03,P007,S02,9.1
2027-01-03,P007,S03,7.07
2027-01-03,P007,S04,6.38
2027-01-03,P008,S01,11.01
2027-01-03,P008,S02,7.95
2027-01-03,P008,S03,6.9
2027-01-03,P008,S04,6.27
