Product_ID,Store_ID,Total_Predicted_Units
P003,S03,90.2
P001,S03,76.53
P008,S01,71.16
P005,S01,70.72
P002,S03,69.69
P002,S02,65.69
P003,S01,61.71
P002,S01,61.3
P004,S03,59.87
P003,S02,59.76
P007,S02,58.269999999999996
P005,S03,55.33
P005,S04,55.0
P004,S01,54.36
P006,S04,51.94
P008,S02,48.07
P007,S03,47.84
P006,S01,47.69
P008,S03,44.94
P002,S04,43.34
P006,S03,43.190000000000005
P005,S02,43.15
P004,S04,42.660000000000004
P001,S04,42.09
P003,S04,41.99
P008,S04,41.65
P001,S02,40.86
P007,S04,39.56
P006,S02,37.17
P007,S01,36.019999999999996
P001,S01,27.15
P004,S02,19.84
