Row_ID,Date,Product_ID,Product_Name,Category,Store_ID,Store_Location,Units_Sold,Price,Discount_Percentage,Revenue,Promotion_Flag,Stock_Availability,Day_of_Week,Month,Quarter,Holiday_Flag,Holiday_Name,Is_Weekend,Season,Weather,Local_Event_Flag,Competitor_Price,Economic_Indicator,Sales_Channel,Customer_Segment,Marketing_Spend
1,01-01-2024,P002,Bluetooth Speaker,Electronics,S01,Chennai,58,3759.44,0,218047.52,0,1,Monday,January,Q1,1,New Year,0,Winter,Sunny,1,3448.86,101.33,Online,Retail,109.32
2,02-01-2024,P001,Wireless Mouse,Electronics,S02,Bengaluru,0,3636.89,15,0,1,0,Tuesday,January,Q1,0,,0,Winter,Stormy,0,3599.95,99.17,Online,Retail,7132.32
3,03-01-2024,P006,Running Shoes,Apparel,S03,Mumbai,91,946.3,20,68890.64,1,1,Wednesday,January,Q1,0,,0,Winter,Sunny,0,923.58,100.38,In-Store,Wholesale,3012.95
4,04-01-2024,P001,Wireless Mouse,Electronics,S04,Delhi,57,2773.89,5,150206.14,1,1,Thursday,January,Q1,0,,0,Winter,Clear,0,2956.64,104.28,In-Store,Wholesale,2326.74
5,05-01-2024,P002,Bluetooth Speaker,Electronics,S01,Chennai,59,3374.06,20,159255.63,1,1,Friday,January,Q1,0,,0,Winter,Sunny,0,3621.37,100.7,In-Store,Wholesale,8424.05
6,06-01-2024,P003,Office Chair,Furniture,S03,Mumbai,89,1905.3,15,144135.94,1,1,Saturday,January,Q1,0,,1,Winter,Sunny,1,1956.73,103.01,Online,Retail,4891.47
7,07-01-2024,P005,LED Desk Lamp,Home,S02,Bengaluru,83,3486.15,20,231480.36,1,1,Sunday,January,Q1,0,,1,Winter,Rainy,0,3698.84,101.02,Online,Retail,9174.79
8,08-01-2024,P006,Running Shoes,Apparel,S02,Bengaluru,45,3346.11,5,143046.2,1,1,Monday,January,Q1,0,,0,Winter,Rainy,0,3104.94,106.17,Wholesale,Corporate,7596.63
9,09-01-2024,P007,Yoga Mat,Sports,S04,Delhi,42,1937.58,0,81378.36,1,1,Tuesday,January,Q1,0,,0,Winter,Sunny,0,1803.05,97.4,Wholesale,Corporate,6165.89
10,10-01-2024,P007,Yoga Mat,Sports,S04,Delhi,4,3060.26,5,11628.99,1,0,Wednesday,January,Q1,0,,0,Winter,Cloudy,1,3281.08,95.17,Wholesale,Retail,6976.25
11,11-01-2024,P005,LED Desk Lamp,Home,S03,Mumbai,61,735.45,5,42619.33,1,1,Thursday,January,Q1,0,,0,Winter,Stormy,0,802.2,108.14,In-Store,Wholesale,7738.64
12,12-01-2024,P002,Bluetooth Speaker,Electronics,S03,Mumbai,0,4240.01,10,0,1,0,Friday,January,Q1,0,,0,Winter,Rainy,0,4133.09,97.42,Wholesale,Retail,6189.97
13,13-01-2024,P008,Coffee Maker,Appliances,S01,Chennai,55,736.97,0,40533.35,0,1,Saturday,January,Q1,0,,1,Winter,Sunny,0,792.69,109.2,Online,Wholesale,243
14,14-01-2024,P002,Bluetooth Speaker,Electronics,S02,Bengaluru,0,816.28,5,0,1,0,Sunday,January,Q1,0,,1,Winter,Rainy,0,820.8,104.1,Online,Wholesale,7675.02
15,15-01-2024,P004,Notebook Pack,Stationery,S03,Mumbai,65,2115.16,15,116862.59,1,1,Monday,January,Q1,0,,0,Winter,Stormy,1,2094.64,98.72,Online,Corporate,699.83
16,16-01-2024,P004,Notebook Pack,Stationery,S02,Bengaluru,81,234.52,15,16146.7,1,1,Tuesday,January,Q1,0,,0,Winter,Rainy,0,253.54,107.89,Online,Wholesale,2761.04
17,17-01-2024,P008,Coffee Maker,Appliances,S02,Bengaluru,0,2788.32,15,0,1,0,Wednesday,January,Q1,0,,0,Winter,Clear,0,2645,102.09,In-Store,Retail,1396.1
18,18-01-2024,P007,Yoga Mat,Sports,S03,Mumbai,53,2233.18,5,112440.61,1,1,Thursday,January,Q1,0,,0,Winter,Sunny,0,2189.69,100.09,Online,Retail,2320.11
19,19-01-2024,P008,Coffee Maker,Appliances,S02,Bengaluru,35,2225.03,0,77876.05,1,1,Friday,January,Q1,0,,0,Winter,Sunny,0,2362.1,107.84,Online,Retail,6695.38
20,20-01-2024,P001,Wireless Mouse,Electronics,S01,Chennai,47,4646.56,20,174710.66,1,1,Saturday,January,Q1,0,,1,Winter,Rainy,0,4633.22,98.21,In-Store,Retail,2064.05
21,21-01-2024,P001,Wireless Mouse,Electronics,S04,Delhi,102,1472.97,20,120194.35,1,1,Sunday,January,Q1,0,,1,Winter,Cloudy,0,1530.88,105.96,Wholesale,Wholesale,7324.88
22,22-01-2024,P003,Office Chair,Furniture,S02,Bengaluru,32,1624.2,0,51974.4,0,1,Monday,January,Q1,0,,0,Winter,Sunny,0,1651.54,102.54,Wholesale,Retail,28.44
23,23-01-2024,P002,Bluetooth Speaker,Electronics,S02,Bengaluru,57,528.9,0,30147.3,0,1,Tuesday,January,Q1,0,,0,Winter,Sunny,1,502.05,103.92,Wholesale,Retail,209.61
24,24-01-2024,P006,Running Shoes,Apparel,S03,Mumbai,64,1180.44,15,64215.94,1,1,Wednesday,January,Q1,0,,0,Winter,Rainy,0,1155.84,105.08,In-Store,Corporate,3503.68
25,25-01-2024,P002,Bluetooth Speaker,Electronics,S01,Chennai,64,2399.77,10,138226.75,1,1,Thursday,January,Q1,0,,0,Winter,Sunny,1,2262.1,98.98,In-Store,Retail,8853.07
26,26-01-2024,P006,Running Shoes,Apparel,S03,Mumbai,1,957.18,20,765.74,1,0,Friday,January,Q1,1,Republic Day,0,Winter,Cloudy,1,1049.81,107.11,Wholesale,Retail,6844.7
27,27-01-2024,P005,LED Desk Lamp,Home,S01,Chennai,16,4706.86,0,75309.76,0,1,Saturday,January,Q1,0,,1,Winter,Sunny,1,4382.51,99.23,Online,Wholesale,171.44
28,28-01-2024,P005,LED Desk Lamp,Home,S04,Delhi,94,1405.38,20,105684.58,1,1,Sunday,January,Q1,0,,1,Winter,Sunny,0,1497.95,95.66,In-Store,Retail,6552.58
29,29-01-2024,P005,LED Desk Lamp,Home,S02,Bengaluru,38,3757.91,10,128520.52,1,1,Monday,January,Q1,0,,0,Winter,Clear,0,3466.2,109.18,Wholesale,Retail,5683.11
30,30-01-2024,P006,Running Shoes,Apparel,S02,Bengaluru,25,2262.98,0,56574.5,0,1,Tuesday,January,Q1,0,,0,Winter,Sunny,0,2131.76,98.74,Online,Corporate,390.06
31,31-01-2024,P007,Yoga Mat,Sports,S02,Bengaluru,0,4643.67,0,0,0,1,Wednesday,January,Q1,0,,0,Winter,Stormy,0,4345.88,108.87,In-Store,Wholesale,432.03
32,01-02-2024,P004,Notebook Pack,Stationery,S03,Mumbai,93,964.15,15,76216.06,1,1,Thursday,February,Q1,0,,0,Winter,Stormy,0,1033.3,98.34,In-Store,Corporate,3399.31
33,02-02-2024,P004,Notebook Pack,Stationery,S02,Bengaluru,62,313.59,0,19442.58,1,1,Friday,February,Q1,0,,0,Winter,Cloudy,0,342.87,99.19,Wholesale,Wholesale,4296.94
34,03-02-2024,P006,Running Shoes,Apparel,S01,Chennai,0,753.64,0,0,0,0,Saturday,February,Q1,0,,1,Winter,Cloudy,0,694.62,101.52,Wholesale,Corporate,218.2
